,title,price,link
10,"HP [Windows 11 Home] 255 G8 Notebook, 15.6'' HD Display, AMD Athlon 3020e Processor, 8GB Memory, 256GB SSD, Wi-Fi, Bluetooth, Type-C Port, RJ-45 Port, Black  ","23,390",https://amazon.in//HP-255-G8-Processor-Bluetooth/dp/B0B6LCJ3FD/ref=sr_1_100?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc&dib_tag=se&keywords=laptop&qid=1721240446&sprefix=lapto%2Caps%2C284&sr=8-100
11,"(Refurbished) Dell Precision 7510 Intel Core i7 - 6920HQ Quad Core Processor, 4GB Ram & 256GBSSD, 15.6 Inches (Numeric Keypad) FHD Screen with Dual Intel & Nvidia Quadro M2000M (4GB Graphic ) Laptop  ","39,790",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzYwMTAwMjEyOTE1MTk4OjE3MjEyNDA0NDY6c3BfYnRmOjMwMDE1MzkyOTcyMzgzMjo6MDo6&url=%2FRefurbished-Dell-Precision-7510-Intel%2Fdp%2FB0CZDD7LNV%2Fref%3Dsr_1_101_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240446%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
12,"Chuwi HeroBook Plus 15.6"" FHD Laptop, Intel Celeron N4020 Dual Core Processor Upto 2.80GHz, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 11,WiFi 6,Webcam,BT 5.2,HDMI Port,38Wh, 1.74kg (Iron Gray)  ","18,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MzYwMTAwMjEyOTE1MTk4OjE3MjEyNDA0NDY6c3BfYnRmOjMwMDE0MDA3OTY4MDYzMjo6MDo6&url=%2FChuwi-HeroBook-Plus-Processor-Graphics%2Fdp%2FB0CP98RG6F%2Fref%3Dsr_1_102_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.iqbOdM9ZnSWhDMLVreNtWtewI0FZsdW5xXRTZ4U9_NSq8FeOPMnRW1PjuqdFT5TmA3nVMUOqMemjrlvAmuLLi5PCRKvuERp4ClJHVEyKyu3mH4eXP6LXyk0Dmv7GqnVdDcD_4ui9mX_2Un-tXPb30W3NrUQwJMu9cSbHPlNhCKmxG7vFjS0UQZEJv8p4EYZUoXdaHcKtUFavjP341rymxmDMb6k3NKNxTw_DQAqVRIc.ayD2aj76-HgQMDL-YS0bhB3sebFiDwdNJvtwcXmkBVc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240446%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,"Dell 14 Thin & Light Laptop, Intel Core i5-1235U Processor, 8GB + 512GB SSD, 14.0"" (35.62cm) FHD AG 250 nits Display, Windows 11 + MSO'21 & 15 Month McAfee, Grey, Spill-Resistant Keyboard, 1.48kg  ","45,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1MDAwNjk5NTM5MDM2MTk4OjE3MjEyNDA0MjA6c3BfbXRmOjMwMDE5MDM3NDI2MzczMjo6MDo6&url=%2FDell-Laptop-i5-1235U-Processor-Spill-Resistant%2Fdp%2FB0D2DNCMB4%2Fref%3Dsr_1_28_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.FA5mBSSBdsV2oFaehzbjxX4urp2BNOBftsnxel2dzSYlnXq2KIdFYRpURx0rhtfoaaUqt6tFhVh3emcOjcC7sGG8jl9ukbXJ-Kgf-7mvf2gZ1DWGZBisQWYrkANf16eSj2s6wBmOCLz1pQV0oa7qJUyPQ0e0IrQM_lzoEDr3q_1ufQNRrPbgP-fhbYYRR8YXI7FbwyqnyW-wiOrSK2PQy8qnfMHrSfDhQ3Die5QGhho.YIjI61rYuUr2KQPmRs2uoCzslDsUYTjM6ZE8edqrzmI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240420%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"(Refurbished) Dell Precision 7520 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen, 64 GB Ram & 512 GB SSD, 15.6 Inches (Numeric Keypad) FHD Screen with Nvidia Quadro M2200 (4GB Graphic Card) Laptop  ","52,994",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjUwNzMzMDE1ODkwMTk4OjE3MjEyNDA0NTI6c3BfYXRmX25leHQ6MzAwMTQ1ODIzMDE2MTMyOjowOjo&url=%2FRefurbished-Dell-Precision-7520-Intel%2Fdp%2FB0CLY821K9%2Fref%3Dsr_1_97_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.Al2QQqlCaJoJ1UAwRDZwatacVb69wQHPqrF2Ehl4ry7N4XzwIfLop53zlkvYXm-Sf4ASGcDGbcZU2Eyx6EW3VkBt4myWF_Rn4ueLo8ZNdwV7XpDaH0s4oJY17MpTsZ0xAxsuTpPvdduxTvawA6AUsrgbf_uuZ6Nx7wSzu2euSaOJo2bWaNx-U_urDbY4g62KSUjtHC5uYvWb5GnBPoxidVkZvNaA_p9LyqKLD3nOB-M.wjt7ieVWJ_rDfeEJkv9VEXAQEDSe3vPLjgG316U8LgI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240452%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"Acer Predator Helios Neo 16 Gaming Laptop 14th Gen Intel Core i7 Processor (Windows 11 Home/16 GB/1 TB SSD/NVIDIA GeForce RTX 4050) PHN16-72 with 40.64 cm (16"") WUXGA Display  ","1,30,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NjUwNzMzMDE1ODkwMTk4OjE3MjEyNDA0NTI6c3BfYXRmX25leHQ6MzAwMTcwMjE2MTY0NTMyOjowOjo&url=%2FAcer-Predator-Processor-Windows-PHN16-72%2Fdp%2FB0CZRV1SSD%2Fref%3Dsr_1_98_sspa%3Fcrid%3D25E96DT0LIJB0%26dib%3DeyJ2IjoiMSJ9.Al2QQqlCaJoJ1UAwRDZwatacVb69wQHPqrF2Ehl4ry7N4XzwIfLop53zlkvYXm-Sf4ASGcDGbcZU2Eyx6EW3VkBt4myWF_Rn4ueLo8ZNdwV7XpDaH0s4oJY17MpTsZ0xAxsuTpPvdduxTvawA6AUsrgbf_uuZ6Nx7wSzu2euSaOJo2bWaNx-U_urDbY4g62KSUjtHC5uYvWb5GnBPoxidVkZvNaA_p9LyqKLD3nOB-M.wjt7ieVWJ_rDfeEJkv9VEXAQEDSe3vPLjgG316U8LgI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721240452%26sprefix%3Dlapto%252Caps%252C284%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
16,"HP Chromebook 15A Intel Celeron N4500 15.6Inch(39.6Cm) Hd Anti-Glare Display (4Gb Ram/128 Gb Emmc/Dual Speaker/Intel Uhd Graphics/Chrome 64/1070Gm/Mineral Silver) 15A- Na0008Tu, Chrome OS  ","18,990",https://amazon.in//HP-Chromebook-Anti-Glare-15a-na0008TU/dp/B0BYT3T8BS/ref=sr_1_99?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.Al2QQqlCaJoJ1UAwRDZwatacVb69wQHPqrF2Ehl4ry7N4XzwIfLop53zlkvYXm-Sf4ASGcDGbcZU2Eyx6EW3VkBt4myWF_Rn4ueLo8ZNdwV7XpDaH0s4oJY17MpTsZ0xAxsuTpPvdduxTvawA6AUsrgbf_uuZ6Nx7wSzu2euSaOJo2bWaNx-U_urDbY4g62KSUjtHC5uYvWb5GnBPoxidVkZvNaA_p9LyqKLD3nOB-M.wjt7ieVWJ_rDfeEJkv9VEXAQEDSe3vPLjgG316U8LgI&dib_tag=se&keywords=laptop&qid=1721240452&sprefix=lapto%2Caps%2C284&sr=8-99
17,"(Renewed) HP Chromebook C640 10th Gen Intel Core i5 FHD Thin & Light Touchscreen Laptop (8 GB DDR4 RAM/64 GB eMMC SSD + 256 GB MicroSD Card/14"" (35.6 cm) FHD/Chrome OS/WiFi/BT/Webcam/Intel Graphics)  ","19,500",https://amazon.in//Refurbished-HP-Chromebook-Touchscreen-Graphics/dp/B0C58FJPJB/ref=sr_1_100?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.Al2QQqlCaJoJ1UAwRDZwatacVb69wQHPqrF2Ehl4ry7N4XzwIfLop53zlkvYXm-Sf4ASGcDGbcZU2Eyx6EW3VkBt4myWF_Rn4ueLo8ZNdwV7XpDaH0s4oJY17MpTsZ0xAxsuTpPvdduxTvawA6AUsrgbf_uuZ6Nx7wSzu2euSaOJo2bWaNx-U_urDbY4g62KSUjtHC5uYvWb5GnBPoxidVkZvNaA_p9LyqKLD3nOB-M.wjt7ieVWJ_rDfeEJkv9VEXAQEDSe3vPLjgG316U8LgI&dib_tag=se&keywords=laptop&qid=1721240452&sprefix=lapto%2Caps%2C284&sr=8-100
18,"ASUS Vivobook S 15 OLED (2023), Intel Core EVO i5-13500H 13th Gen, 15.6"" (39.62 cm) 2.8K 120Hz OLED, Thin & Light Laptop (16GB/512GB SSD/Iris Xe/Win 11/Office 2021/75WHr/Blue/1.7 kg) S5504VA-MA541WS  ","75,990",https://amazon.in//ASUS-Vivobook-i5-13500H-Laptop-S5504VA-MA541WS/dp/B0BSDZY5FV/ref=sr_1_101?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.Al2QQqlCaJoJ1UAwRDZwatacVb69wQHPqrF2Ehl4ry7N4XzwIfLop53zlkvYXm-Sf4ASGcDGbcZU2Eyx6EW3VkBt4myWF_Rn4ueLo8ZNdwV7XpDaH0s4oJY17MpTsZ0xAxsuTpPvdduxTvawA6AUsrgbf_uuZ6Nx7wSzu2euSaOJo2bWaNx-U_urDbY4g62KSUjtHC5uYvWb5GnBPoxidVkZvNaA_p9LyqKLD3nOB-M.wjt7ieVWJ_rDfeEJkv9VEXAQEDSe3vPLjgG316U8LgI&dib_tag=se&keywords=laptop&qid=1721240452&sprefix=lapto%2Caps%2C284&sr=8-101
19,"Acer Aspire Lite AMD Ryzen 3 5300U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","30,990",https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CWTYGPH8/ref=sr_1_102?crid=25E96DT0LIJB0&dib=eyJ2IjoiMSJ9.Al2QQqlCaJoJ1UAwRDZwatacVb69wQHPqrF2Ehl4ry7N4XzwIfLop53zlkvYXm-Sf4ASGcDGbcZU2Eyx6EW3VkBt4myWF_Rn4ueLo8ZNdwV7XpDaH0s4oJY17MpTsZ0xAxsuTpPvdduxTvawA6AUsrgbf_uuZ6Nx7wSzu2euSaOJo2bWaNx-U_urDbY4g62KSUjtHC5uYvWb5GnBPoxidVkZvNaA_p9LyqKLD3nOB-M.wjt7ieVWJ_rDfeEJkv9VEXAQEDSe3vPLjgG316U8LgI&dib_tag=se&keywords=laptop&qid=1721240452&sprefix=lapto%2Caps%2C284&sr=8-102
